storage_class,file_size_mb,upload_time_mean_s_single_put,upload_time_ci95_s_single_put,upload_time_mean_s_multipart,upload_time_ci95_s_multipart,time_improvement_pct,time_improvement_ci_pct,upload_throughput_mbps_single_put,upload_throughput_mbps_multipart,throughput_improvement_pct
GLACIER_IR,100.0,1.280329942703247,0.0916941831829064,6.324241399765015,0.7391080618549775,-393.95,53.99768118192797,78.10486708516966,15.812173141226967,-79.76
GLACIER_IR,1000.0,9.028902769088743,0.184646902587845,59.302228013674416,3.172991785159564,-556.8,31.893808435525557,110.75542904544164,16.86277284167825,-84.77
INTELLIGENT_TIERING,100.0,1.8273442188898723,0.9725456941383596,3.13010307153066,0.1146914001787093,-71.29,38.03164246032195,54.72422708664648,31.947829740666887,-41.62
INTELLIGENT_TIERING,1000.0,9.252711335817972,0.3360881994021888,31.630210717519123,1.502790349065728,-241.85,14.46395068342995,108.0764290277728,31.61534423310455,-70.75
STANDARD,100.0,1.2838200330734253,0.3739837016210995,3.2389665842056274,0.3164318344072209,-152.29,46.79126198687768,77.89253744592465,30.87404497707268,-60.36
STANDARD,1000.0,9.657583793004354,0.9744614174253626,32.11037166913351,1.7733471257310254,-232.49,26.742437788925237,103.5455680668666,31.142585651266767,-69.92
