storage_class,file_size_mb,single_put_time_s,multipart_time_s,time_improvement_pct,single_put_throughput_mbps,multipart_throughput_mbps,throughput_improvement_pct
GLACIER_IR,100.0,1.280329942703247,6.324241399765015,-393.9540339431738,78.10486708516966,15.812173141226967,-79.75520126807906
GLACIER_IR,1000.0,9.028902769088745,59.302228013674416,-556.8043707005118,110.75542904544163,16.86277284167825,-84.77476635952567
INTELLIGENT_TIERING,100.0,1.8273442188898723,3.13010307153066,-71.29247129105349,54.72422708664648,31.947829740666887,-41.62031801731444
INTELLIGENT_TIERING,1000.0,9.252711335817972,31.630210717519123,-241.8480223745454,108.0764290277728,31.61534423310455,-70.74723460285661
STANDARD,100.0,1.2838200330734253,3.2389665842056274,-152.29132594633546,77.89253744592465,30.87404497707268,-60.36328255642414
STANDARD,1000.0,9.657583793004354,32.11037166913351,-232.4886675318648,103.5455680668666,31.142585651266767,-69.92378695420761
