storage_class,file_size_mb,upload_time_mean_s_single_put,upload_time_mean_s_multipart,time_improvement_pct,upload_throughput_mbps_single_put,upload_throughput_mbps_multipart,throughput_improvement_pct
GLACIER_IR,100.0,1.4211875200271606,6.453499913215637,-354.09,70.3636913432007,15.495467784111613,-77.98
GLACIER_IR,1000.0,8.881874203681946,66.5118670463562,-648.85,112.58884972559665,15.034910977661154,-86.65
INTELLIGENT_TIERING,100.0,1.141039490699768,4.191614985466003,-267.35,87.63938567864356,23.857152993950965,-72.78
INTELLIGENT_TIERING,1000.0,10.40664768218994,31.282504081726078,-200.6,96.0924238562829,31.966750404235,-66.73
STANDARD,100.0,2.614487171173096,3.436001777648926,-31.42,38.24841869663141,29.103593790462096,-23.91
STANDARD,1000.0,9.377301454544067,30.799917936325077,-228.45,106.64048765494454,32.46761897441978,-69.55
